"ID","ALLAS_NEVE","ALLAS_LEIRASA","MUNKAKOR_ID","HIRDETO_ID","KAPCSOLAT_ID","DIAK_VALLALHATJA","HELYSZIN_ID","KEZDES_IDOPONTJA","BEREZES"
22,"IT Sales Manager","Great opportunity for driven, energetic IT Sales Professionals in chicago! Our client is a leading Global IT services Provider based in the tech mecca of the world- Silicon Valley & are looking for High energy, IT sales Professionals to join their team in Midwest . The position offers working remotely ! 7-10 yrs IT Services Sales experience.Â  Â Must have a mix of IT Services Project selling (50%) and Staff Augmentation * Â Onsite Placements with direct end clients (50%).Â Â  Â Industry segments preferred in Retail / Manufacturing / Supply Chain / Product Engineering / Mobility. AÂ SALES HUNTER MENTALITY IS A MUST! Must have a proven sales track record of success of carrying a quota of $3- 4.5 Million dollars Competitive Base Salary + Commission !",1,56,19,1,12,22-AUG.  -25 00.00.00,000000000,543704
23,"Sr. Systems Test Engineer (PERM)","Our client is theÂ worldÂs premier voiceÂ andÂ electronic interdealer brokerÂ and theÂ source of global market Â  informationÂ andÂ commentaryÂ forÂ professionalsÂ in theÂ international financial markets. The Group is active in the wholesale markets in interest rates, credit, commodities, foreign exchange and equity derivatives.Our client is currently seeking a Sr. Systems Test EngineerÂ Â for aÂ fulltimeÂ position inÂ Parsippany, NJ.Principal Responsibilities & AccountabilitiesConduct the entire system certification effort for a project with minimal supervision.Serve as the principal system engineer for major test efforts; lead the effort of other system engineers and application testers as requiredRepresent the group in requirement, specification, and design review meetings and contribute constructive feedback to the presenters in the groupÂs area of expertise.Create test tools to perform API level testingPerform Load and Performance Testing for C / C++, Java and Adobe Flash based applications.Create status and test result reports for management and represent the group in status meetings.Estimate certification effort for projects and ad-hoc testing requests.Determine and execute appropriate system-side testing for each project outside of requirements.Build, install and fallback software releases and database schemas in lab environments.Support operations personnel for critical production issues as needed.Write advanced tools and scripts to aid certification efforts and simplify operations procedures.Experience with VM, configuring VM on both Windows and Linux platformsÂ CompetenciesMastery of Solaris and Linux operating systems.Working knowledge of OpenVMS and WindowsAble to install and configure new hardware and software with minimal assistance.Knowledge of Mercury Interactive suite of automated testing tools (LoadRunner/Performance Center, QTP and Quality Center)Working knowledge of TCP/IP and routing protocols.Knowledge of Microsoft Office suite of products.Working knowledge of SQL Â can create ad-hoc queries to verify test results or troubleshoot issues. Oracle DBA-type experience a plus.Programming experience, preferably C/C++, Java and shell scripting.Knowledge of software methodologies (Agile and Scrum)Qualifications & Experience Minimum of bachelor's degree or equivalent in computer science, masterÂs degree preferred.Atleast 4 years relevant experience on Systems testing, Load and Performance testing for C/ C++, JAVA and Adobe Flash based applications4 yearsÂ experience with manual testing.Knowledge of foreign exchange/banking and market data industriesMinimum 7 years of work experience in the Information Technology industry.Working knowledge of de facto industry standard software (Oracle, HP OpenView, etc.) a plus.Knowledge of Networking Concepts is preferable.knowledge on Tervela or any MQ messaging is preferableknowledge on Google protocol buffer (GPB) and FIX/FAST is preferableknowledge on configuring VM on both Windows and Linux platforms",45,13,6,0,20,22-AUG.  -20 00.00.00,000000000,211317
24,"IT Quality Consultant","Genesis10 is seeking an IT Quality Consultant for a 4-month contract-to-hire position with a client in Eden Prairie, MN. Genesis10 provides access to career opportunities with over 40 clients in the Twin Cities. As the #3 ranked firm for Business and IT consulting in Minnesota, we offer a variety of opportunities whether you are looking for contract, contract-to-hire, or permanent positions. Let's connect today! Responsibilities: Â  * Test Planning - Requirement/User Story review, Test Case writing; Gherkin, Feature Files * Test Case Automation - Selenium framework and/or SOAPUI * Test Case Execution - Selenium and/or SOAPUI; Some manual execution may be required * Test Execution status reports * Proactive Communication * Use of Agile principles; likely use of ATDD principles Qualifications: Â  * Automation & Test execution skills that involve coding in Selenium and/or SOAPUI * Communication & team work * Rally for test case and defect management; Agile project management preferred If you have the described qualifications and are interested in this exciting opportunity, apply today! Benefits of Working with Genesis10: Â  As a Genesis10 consultant, we are proud to offer access to the following benefits: * Medical and dental insurance * Bi-weekly payroll * 401k plan * Downtown Minneapolis/St. Paul parking allowance * Delivery Manager for employee support * Successful re-marketing program * Referral program with the opportunity to earn additional income About Genesis10: Â  Genesis10 is a Professional Technology Services Firm providing Staffing, Workforce Optimization and Domestic Outsourcing Solutions. If you are a high performing business or IT professional with solid, referenced experience, we want to meet you. Genesis10 recruiters and delivery professionals are highly accomplished career advocates, who get to know you beyond your resume to position you with the opportunities that fit your skills, experience and aspirations. We have benefit options to fit your needs and a support staff that works with you from placement throughout your engagement - project after project. To learn more about Genesis10 and to view all our available career opportunities, please visit us at www.genesis10.com ""Genesis10 is an Equal Opportunity Employer, M/F/D/V""",48,72,16,0,6,22-SZEPT.-06 00.00.00,000000000,369394
25,"USB Validation Engineer","VanderHouwen has more jobs you may like!Â  Find them here: http://bit.ly/1RIQfgEÂ PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetworkÂ Â Joining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave usÂ your information or apply, we look forward to connecting with you. SummaryThis position is part of the Pre-Silicon Emulation/Post-Silicon Validation team and plays a fundamental role in bringing to market next-generation devices for our growing audio business and ensuring that those devices meet customer requirements.ResponsibilitiesDevelop and execute tests on the lab bench per the validation plan during pre-silicon and post-silicon phases of the product to ensure functionality and performance as per the datasheet.Think beyond the datasheet and around design corners to find elusive bugs. Able to think of test cases and customer usage model that may violate the assumptions of designers and systems engineers.Develop automated test framework, regression test suites in MATLAB and/or LabVIEW to optimize validation efficiency.Work with validation peers to implement best practices and continuous improvements to company validation methodologies.Collaborate closely with IC Design engineers, Systems engineers and Application engineers to understand requirements and use cases.Debug analog/digital silicon issues, board issues and Validation software/hardware tools issues.Analyze test results and identify failures/defects using business intelligence tools such as Spotfire.Work with firmware and software engineers to debug USB protocol errors.Validate USB physical layer against standard USB requirements.Develop and work with supporting HW (FPGA, DSP, ARM, 8051, JTAG, debuggers) and SW (C, Assembly, scripts) collaterals.Qualifications RequiredBS in Electrical or Computer Engineering with 5+ years of experience in related field OR MS in Electrical or Computer Engineering with 3+ years of experience in relevant areas in USB validation.Familiarity with scripting/programming languages such as MATLAB, C, Python, LabVIEW or similar.Solid hands-on experience in lab equipment such as oscilloscopes, signal generators, audio analyzers, logic analyzers, spectrum analyzers for measurement and debugging issues.Qualifications PreferredExperience in various automation framework hardware tools (FPGA, DSP, ARM, 8051, JTAG, NI Data Acquisition) or software tools/languages (Scripting languages as MATLAB, C, Python, SQL, test sequencers such as NI Teststand).Solid hands-on experience in lab equipment such as oscilloscopes, protocol analyzers, signal generators, audio analyzers, logic analyzers, spectrum analyzers for measurement and debugging issues.Self-motivated with excellent problem solving skills and attention to detail are highly valued as you will need to understand silicon, board and software interactions.Demonstrated aptitude in system understanding of various industry interface standards such as I2C, SPI, USB, UART, I2S, TDM or high-speed control/data bus as examples.",54,71,21,0,9,22-OKT.  -11 00.00.00,000000000,234296
26,"Senior Product Manager","Do you want a chance to directly improve the customer experience for millions of customers a day?This position is a Product Manager in the Customer Experience team for Fulfillment by Amazon and Amazon Global Selling organization. Our vision is to transform global commerce by bringing selection from around the world to Customers anywhere in the world, with the same great customer experience Buyers expect from Amazon.In this role, you will set strategy and policy, build processes, and evangelize for technology solutions that allow third party Sellers from all over the world to bring hundreds of millions of new items to AmazonÂs 11 Marketplaces worldwide. You will determine what experience these Sellers must offer our customers, create the incentives and enforcement mechanisms to achieve this experience, and frequently audit the results.Responsibilities for this position will include creation of programs that drive improvement in our key customer experience metrics, management of global programs and stakeholders, and driving alignment for new programs at high levels of the organization. This position will also have management responsibility for product managers, data analysts, and an operations team.From Jeff Bezos' annual letter to Amazon shareholders:To further globalize Marketplace, weÂre now helping sellers in each of our geographies - and in countries where we donÂt have a presence - reach out to our customers in countries outside their home geographies. We hosted merchants from more than 100 different countries last year, and helped them connect with customers in 185 nations. Almost one-fifth of our overall third-party sales now occur outside the sellersÂ home countries, and our merchantsÂ cross-border sales nearly doubled last year. In the EU, sellers can open a single account, manage their business in multiple languages, and make products available across our five EU websites. More recently, weÂve started consolidating cross-border shipments for sellers and helping them obtain ocean shipping from Asia to Europe and North America at preferential, bulk rates.Fulfillment by Amazon (FBA) is an Amazon service for our third-party Sellers. The FBA team partners with Sellers and our Amazon Fulfillment Centers to create a seamless experience for Sellers to leverage our world-class facilities. 71% of our FBA Sellers report more than a 20% increase in unit sales after joining FBA. In a very real way, we are changing lives with the work we do. Our FBA employees wake up every day thinking about how to enable our Sellers to be successful on our platform. Enabling Seller success allows us to provide Amazon customers with unparalleled selection and pricing. FBA is a win for Sellers and a win for customers. Want to learn more about FBA?Ë SellerÂs success stories: SellerSuccessË A free book of stories from small businesses/sellers, authors, and innovators that are thriving on Amazon: Transformations-ebookË BS or BA in computer science, engineering, math, finance, or economicsË 3+ years of product management or finance experience in technology focused businessË Excellent written and verbal communication skillsË Superior analytical and problem-solving skillsË MBAË 5+ years of product management experienceË Prior experience managing technical products or online servicesË Proficient with web services, online technologies, virtualization, developer tools, and user interface designË Entrepreneurial spirit, with track record for delivering results in fast-moving and demanding environmentsË History of developing business strategy in conjunction with senior leadership",2,72,18,0,25,22-JÚN.  -07 00.00.00,000000000,251758
27,"Frontend/UI Developer","PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetworkÂ Â Joining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave usÂ your information or apply, we look forward to connecting with you. SummaryOur client is the leading provider of online video publishing and management solutions * millions of media files and process millions of hits per day. Media companies rely on their cloud-based video platform as their open, central hub for managing, monetizing, and syndicating billions of internet video views each year. Our client*s services provide unmatched versatility for designing and supporting streaming video businesses on PCs, mobile devices, and TV. Some of their customers include SyFy, Fox Sports Network, NBC Sports, National Geographic, Comcast, British Telecom, Travel Channel, and more. Their Consulting Services Team is seeking to add those with engineering knowledge / experience with the latest web and mobile technologies and come work as a Frontend/UI Developer. The Consulting Services team works with a variety of customers to deliver world class IP-based video delivery solutions. Current projects include multiple initiatives for major media companies, as well as cable operators and telecommunication companies worldwide.Â  The Frontend/UI Developer will be contributing to HTML5 video sites for high profile media companies, as well as to administrative consoles for media publishers and distributors using the latest JavaScript technologies. ResponsibilitiesDesign, estimate, and implement features for consumer-facing HTML5 video players based on client PDK technologies. Develop administrative user interfaces for Consulting Services customers for video management solutions.Collaborate with Project Managers and Solution Architects to plan and estimate customer solutions.Participate in a highly iterative agile development process as part of small cross-functional engineering team.Help the team diagnose and address complex client-side interactions.Qualifications BS Degree in Computer Science or a related field (BONUS).High level of communication skills. 4+ years* experience with front end JavaScript Development.CSS and HTML design implementation from wire frame to reality.Comfortable with a wide range of JavaScript technologies like Angular.JS, React, Node.js, JavaScript promises.Experience in a test-driven development environment.Team Lead experience (BONUS).",28,22,2,1,18,22-DEC.  -08 00.00.00,000000000,253032
28,"1001 Selenium Automation testing","Selenium TesterSalt Lake City , UT & Phoenix , AZQuality assurance experience more than 4 years in agile projects with a Lead role.ËÂ Â Â Â Â Â Â Â Â  Hands on Selenium test automation skills is a must requirement.Test management tool experience like HP Quality center.ËÂ Â Â Â Â Â Â Â Â  Quick learner and self starter.ËÂ Â Â Â Â Â Â Â Â  Should be able to function with minimum supervision.ËÂ Â Â Â Â  Â Â Â Â Agile project management tools experience like Rally , Agile vision etc.ËÂ Â Â Â Â Â Â Â Â  Should have a very proactive and agile personality.ËÂ Â Â Â Â Â Â Â Â  Should have qualities of a Ownership bearer and Responsible lead.Â Â If you bring willingness, flexibility and a desire to impress please apply now.Â Resource Manager : Â  Payal AgrawalEmail:Â Â payal@reqroute.comÂ Â Â Â Â Â Â Â Phone:Â  408-800-4331 Â Companies across U.S. have engaged ReqRoute, Inc to deliver skilled, dedicated IT professionals. Recruiting is our passion and we support Fortune 1000 companies with their hiring needs. We always seek to deliver competitive and sought-after career opportunities to our potential consultants and employees. We invite you to review the position requirements below and apply today if your skills match our need.Â Â  Â ReqRoute, Inc is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, disability, military status, national origin or any other characteristic protected under federal, state, or applicable local law. (www.reqrouteinc.com)",47,55,24,0,14,22-SZEPT.-05 00.00.00,000000000,570527
29,"FireEeye HX - Security Engineer","Turnberry Solutions is in search of a Security engineer for a managed solutions team Working onsite with our client. Strong experience needed with FireEye HX clients and Mandiant Mirror Asses existing network topology and identify key system flaws Perform annual assessment of FireEye configurations Develop detailed supporting documentation regarding technical projects (such as materials to support an architecture review board) Manage customer expectation and attend all mandatory review / regulatory discussions related to the specific project being delivered Help establish baseline and plan for improvement of a large enterprise deployment of FireEye HX along with strategic endpoint security planning.Â Daily Responsibilities Administration of Mandiant (FireEye) Mirror Solution Experience with triage features of FireEye HX Supports customers at the highest levels in the development and implementation of doctrine and policies. Performs analysis, design, and development of firewall rules. Analyzes security threats on endpoint desktops Designs, develops, engineers, and implements solutions that meet security requirements (relating to endpoint analysis solutions). Analyzes general information assurance-related technical problems and provides basic engineering and technical support in solving these problems. Technology escalation point for endpoint agents (FireEye HX) Possesses and applies expertise on multiple complex work assignments. Exposure to at least one major industry network firewall technology Assignments may be broad in nature, requiring originality and innovation in determining how to accomplish tasks. Operates with appreciable latitude in developing methodology and presenting solutions to problems Contributes to deliverables and performance metrics where applicable. Security certification desired Advanced experience in networking (TCP/IP) protocols, computer/network security, and system administration. Background in INFOSEC operations, endpoint management, and network topology Windows and Linux skills desired Advanced experience in networking (TCP/IP) protocols, computer/network security, and system administration. Background in INFOSEC operations, endpoint management, and network topology Windows and Linux skills desired Experience with Mandiant (FireEye) Mirror Experience with FireEye HX deployment and usage experience in Information Security standard and best practices 5+ years of IT Security experience with Bachelor's Degree -OR- 3+ year of IT Security experience with Master's On occasion employee will need to travel to various customer locations. Less than 3 hours driving time. Experience with Mandiant (FireEye) Mirror Experience with FireEye HX deployment and usage Experience in Information Security standard and best practices TCP/IP and network security protocols Unix/Linux System Admin Skills",10,27,10,0,24,22-DEC.  -18 00.00.00,000000000,298921
30,"Sr. Software Storage Engineer","PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetworkÂ Â Joining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave usÂ your information or apply, we look forward to connecting with you. SummaryOur client leads the world in helping users collaboratively solve some of the world's hardest computer challenges. Whether its wrangling Petabytes of data for cutting edge movie production, managing global content production workflows, exploring new sources of energy, or managing oceans of content and blending collaborative high-speed workflows with cutting-edge object storage, our client has the tools and technology to help you engineer the solution that works now - and preserves your work for decades to come. You are applying to an exceptional team that contributes to enhancing their position as a proven global expert in data management. Our client is seeking a passionate Sr. Software Storage Engineer who can turn ideas into efficient, reliable and maintainable code to work on a popular open source storage project * Ceph. In this role, you will develop and support the major components of the Ceph storage project across both user and Linux kernel implementations. You will be responsible for the planning, implementation, and support interactions with a very active open source community to deliver enterprise-class software. The challenge? Build a new storage solution based on open software, open hardware, and cloud innovations that will disrupt traditional enterprise storage. You will be coming in on the ground floor of an exciting new solution and work in a fast paced environment.ResponsibilitiesEnjoy helping others around you grow as developers and be successful. Can be autonomous and self-driven. Have an entrepreneurial mindset.Have excellent written and verbal communication skills. Get inspired on a daily basis, think of new ideas and like to share them with others. Love open source software development and being part of a community.Instruct, guide, negotiate, coordinate, analyze and organize.Interact with others in a team environment and also work alone.Complete tasks on time with and without supervision.Use logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.Communicate information and ideas so others can understand.Analyze information and evaluate results.Qualifications Bachelor's degree in computer science, or demonstrated equivalent experience; master's degree in computer science or equivalent experience is preferred.8+ years of systems software development experience.Solid C and C++ development and debugging skills.Good systems and networking programming skills.Deep understanding of Linux and UNIX internals.Experience with clustered computing or distributed file systems; client or server computing experience.Experience dealing with scaling issues and distributed design.Experience with correct and efficient serialization of multi-threaded code.Experience with remote file access protocols (e.g. NFS, CIFS, or S3).Experience with Git, GitHub, and CI.Experience working with distributed teams, delivering enterprise quality software, and working on open source software projects.",17,13,1,0,3,22-JÚL.  -01 00.00.00,000000000,421413
31,"C++ Software Engineer","Our client is seeking a Software Developer to join the team responsible for designing, developing and maintaining the firmÂs highly distributed, high performance order routing system for equities, options and futures. In this position you will have the opportunity to work closely with traders and other technical teams. You will be engaging the complete SDLC and the majority of development will be in C++ on Linux.If you join this team, you will:Research, design, develop and test software components and applications in a heterogeneous technology environment using knowledge of object oriented programming and C++/Linux.Analyze user needs and software requirements to determine feasibility of design within time, cost, and performance constraints.Engage in problem definition, decomposition, and solutions definition within the scope of the application and the run-time environment.Take a holistic view of systems and understand how the hardware, networking, and middleware layers integrate with software components.You should be:Able to execute on ideas quickly.Committed to innovation.Focused on the entire technical stack with an eye for building a stable, scalable, optimized environment with minimized risk.Passionate about technology and interested in exploring new technologies to find the optimal solution.Strong object oriented software developer.Requirements:Bachelor's degree in Computer Science, Engineering, Mathematics or related discipline or its foreign equivalent plus 5 years of progressive experience developing software applications is required.The successful candidate will be a self-motivated, free-thinker who is comfortable working in a fast-paced environment and who has the ability to propose creative and innovative solutions to complex problems.Experience with and a demonstrated understanding of Object oriented design and software development in a high-performance / high throughput environment using C++ (preferably in a Linux environment) is required.Experience with .NET or Java preferred.Excellent attention to detail and an appreciation for the balance between the perfect technical solution and time to market considerations.Ability to take ownership of projects and assume the responsibility for success.Provide innovative ideas to improve the ability of our systems and our team.",24,73,5,0,4,22-DEC.  -24 00.00.00,000000000,753859
32,"Domestic Outsourcing Business Development Executive","Genesis10 has an incredible opportunity for a Business Development Executive to join our highly-successful Domestic Outsourcing Service Line. The Business Development Executive will be responsible, on a national-level, for acquiring new client logos through consultative-selling of the full spectrum of Genesis10's Domestic Outsourcing services. Genesis10's core competencies in Domestic Outsourcing include, but is not limited to Infrastructure, Application Development, and Managed Services. Today, Genesis10 has 6 certified Delivery Centers from which we provide services from today to the Fortune 500. The Delivery Centers are located in: Atlanta, Cleveland, Dallas, Detroit, Kansas City, and Orlando. Becoming a Genesis10 Domestic Outsourcing Business Development Executive is an excellent career move. Here is what your sales colleagues like most about being in sales at Genesis10: * Genesis10 will not cap your earnings and will do everything we can to empower you to exceed your compensation goals. Many of our sales team members are some of the highest paid in the industry! * Genesis10 has a proven track record with referenceable clients providing Domestic Outsourcing Solutions and is considered an early-adopter * Genesis10's Delivery Center Network if 6 locations in Tier 2, 3 and 4 cities across the United States has been recognized by the market analysts as a key differentiator * You are not on your own! Get the support you need to drive your success: + Executive Level Support: You will have direct-access to the entire Genesis10 C-suite to assist you in opening up doors, creating sales strategy, and closing deals + Dedicated Marketing Team: You will have a marketing team focused on ensuring that you have the sales collateral required to support the business development lifecycle from sales presentations, to whitepapers to reusable RFP content * Genesis10 is not a job; it is a family and a career where you can enjoy sustained success. Most of our sales organization has been at Genesis10 for 7-15+ years * Experience work/life balance and trust from your organization. We realize that sales is a difficult role, requiring a lot of hard work and travel at times. Genesis10 is an organization that recognizes success is predicated on being in balance and enjoying the fruits of your labor How You Will Make a Difference: Â  As a Senior Business Development Executive, with experience selling outsourcing solutions, you will help drive domestic outsourcing business to Genesis10. * Utilizing existing relationships to drive Domestic Outsourcing business to Genesis10 * Using your 'hunter' sales approach, with the support of a top-tier delivery team, to open up new relationships and establish an optimal sales pipeline * Manage the end-to-end sales process for all pursuits, including lead-generation, client communications, on-site presentations, proposal development, and negotiation * Build strong internal relationships with Genesis10s' C-level executive team and the domestic outsourcing delivery team to gain optimal sales-support * Effectively collaborate with Genesis10's Delivery Center Operations Team to ensure that all awarded service proposals fully meet the client's needs Qualification Requirements: Â  * Multiple years of proven success selling global offshore or domestic/onshore solutions * Established network of Directors, Vice Presidents, and C-Level relationships to help drive business * Tenured history, having worked multiple years for a recent employer * Demonstrated ability to apply a sales ""hunter approach to driving new business * Experience overseeing the buildout of proposals and contributing to the RFP process * Expert understanding of client outsourcing decision-criteria * Proven ability to work with remote or geographically disperse teams * Ability to travel to client-sites and Genesis10 Delivery Centers for onsite presentations If you've met these qualifications, I want to talk with you. If you are still reading, you must be interested! Reach out to me (Remster Bingham, Vice President of Recruiting rbingham@genesis10.com) today and gain a first-hand understanding of why Genesis10 is a career and not just a job! The Company: Â  Genesis10 is a professional technology services firm providing staffing, workforce optimization and domestic outsourcing solutions. If you are a high performing business or IT professional with solid, referenced experience, we want to meet you. Genesis10 recruiters and delivery professionals are highly accomplished career advocates, who get to know you beyond your resume to position you with the opportunities that fit your skills, experience and aspirations. We offer benefit options to fit your needs and a support staff that works with you from placement throughout your engagement providing career mentoring and support project after project. To learn more about Genesis10 and to view all our available career opportunities, please visit us at www.genesis10.com. Genesis10 is an Equal Opportunity Employer, M/F/D/VÂ  Start Date: 07/05/2016",50,45,7,0,22,22-JÚL.  -06 00.00.00,000000000,420858
33,"Lead Mobile Product Manager- 12255","Our client is a cloud-based education services company.Â  They are well funded and have a solid staff of technical and business professionals. They currently have a requirement for a Lead Mobile Product Manager to work in their Mountain View facility.Â Responsibilities:Own the roadmap for both the Android and iOS appsInteract with business development and sales to gather requirementsInteract with account managers to discover user pain pointsPerform analyses of KPIs and measure behavior across the platformPrepare PRDs and the roadmapWork with engineers to deliver all features and ensure releases go out in a proper cadenceRequirements:BA/BS in Computer Science or related technical field or equivalent4+ years Product ManagementExperience with Scrum/Agile & KanbanAbility to understand highly technical issues and distill down to a product level understandingPreviously been involved with startupsStrong UI/UX and wireframing experienceExperience with both mobile (Android, iOS) and web-based applicationsÂ Position logistics:Direct HireW2 candidates onlyLocal candidates strongly preferredÂ WhatÂs in it for You:Cool, fast growing and nimble company with a central Silicon Valley location.Great opportunity to enhance or solidify your skills with an excellent, diverse and experienced team.Work with key management, across business units and have a major impact on how the business is run.Â About Maxonic:Since 2002 Maxonic has been at the forefront of connecting candidate strengths to client challenges. Â Our award winning, dedicated team of recruiting professionals are specialized by technology, are great listeners, and will seek to find a position that meets the long term career needs of our candidates. Â We take pride in the over 5,000 candidates that we have placed, and the repeat business that we earn from our satisfied clients.Â Interested in Applying?We canÂt wait to see your resume!Â  Please feel free to email Jasleen Oberoi (jasleen@maxonic.com) or call 408-739-4900 x 106.Â Â Key Words: Â Android, Mobile.",53,57,11,0,2,22-SZEPT.-25 00.00.00,000000000,326291
34,"4709317 Project Planner/Scheduler","Description:Monitor and update integrated project plans and schedules so that projects can be executed in the most efficient manner possible.Prepare baseline schedules and schedule basis documents for approval by project teams.Assess impacts to the critical path and near-critical activities and report to the project team.Monitor schedule deviations and variances and assist in the developing alternate methods for corrective action.Prepare and provide schedule progress reports, trending charts and schedule analysis on a periodic basis.Maintain record of scope changes, trends and variances that potentially affect schedule performance.Assure credibility of the information contained in the schedule.Review schedules with project team members on a regular basis to ensure that accurate and timely data is incorporated in the schedule.Analyze schedules from A/E firms, Vendors and General Contractors.Verify schedule integrity and evaluate logic and float paths.Evaluate activity sequences for constructability.Make recommendations to manage float and (re)sequence activities (if required) to achieve project milestone dates and interim target completion dates.Analyze change orders for schedule impacts.Resource load schedules as required by the project team.Perform jobsite walks to verify physical progress of scheduled activities.Facilitate project scheduling meetings and/or interactive planning meetings as required by the project team.Participate in project meetings at the discretion of the project manager.Participate in departmental staff meetings.Comply with departmental scheduling practices and procedures.At the completion of the project, develop and record the project's historical schedule information and ""lessons learned"" for future use.Â Skills:Minimum 10 years of experience as a planner/scheduler on facilities capital projects, including design and construction phases.Demonstrated expertise in the use of modern planning and scheduling principles, methodologies, techniques and tools.Proficiency using Primavera Version 6 and Microsoft Project Standard 2003.Pharmaceutical/Biotech project experience, including commissioning and validation activities, is preferred.Experience with planning controls systems, Automation, GAMP, Emerson & Delta V would be a plus.Â Education:10 yrs or similar Certification by AACE or PMI in planning/scheduling is preferred.",27,35,3,0,17,22-DEC.  -07 00.00.00,000000000,471540
39,"Software Developer","PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetworkÂ Â Joining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave usÂ your information or apply, we look forward to connecting with you.Summary The ideal candidate is a clever, motivated and versatile coder with a hacker mentality who is eager to tackle complex problems. The candidate must be comfortable working in an agile development environment with high expectations for rapid delivery of prototypes, changing requirements, and direct feedback from the internal business customer.Â  Candidates should be able to learn fast and learn on the fly in order to work with a variety of languages, and be capable of taking responsibility for delivering code that accomplishes defined objectives. Â Qualifications Required .NET and C# (Minimum 2 years* experience)Full development lifecycle experience including analysis, design, implementation, testing, monitoringSQL Server: Data modelling, T-SQL, Stored procs, Performance TuningBS or higher degree in Computer Science or related technical field.Â Qualifications Preferred Microsoft Azure or other cloud technologies Cosmos or other big data technologiesWeb API/UI development",41,76,22,0,5,22-JÚN.  -30 00.00.00,000000000,754407
40,"Mobile Automation Tester , Rate :Open Negotiable, 1 year","Centizen Inc, Global agile IT solutions and consulting firm focused in delivering scalable? solutions to address complex business problems. We provide above market salaries and benefits so that we have a lower turnover rate. Please visit our website to see all our open positions(20+) in PM, QA, BSA, SAP, Analytics, Java developers etc. http://careers.centizen.com/Mobile Automation Tester:453753SRate : Open Negotiable for the right candidateDuration: 1 yearLocation: Beaverton, ORResponsibilities:Manual and automated testing of mobile applications (iOS and Android).Manual and automated testing of Sports CE (Consumer Electronics) devices.Manual and automated testing of Mac and PC applications.Manual and automated testing of websites.Requirements:4 years of professional experience in quality engineering, IT or related area3 years hands-on experience testing desktop applications, consumer electronics devices, and websitesInterest in testing sports and fitness applications and devicesExperience authoring comprehensive test plans and test scriptsExcellent verbal and written communication and collaboration skills to effectively communicate with both business and technical teamsComfortable working in a fast-paced, results-oriented environmentTo Apply:We offer immediate H1B transfer. Immediate Green Card processing with PERM for the right candidates.Please send us your resume, Visa Status, Availability and bill rate to sdet@centizen.comPlease follow us on:Open Positions-http://www.careers.centizen.com/Facebook -https://www.facebook.com/CentizenLinkedIn -http://www.linkedin.com/company/centizenTwitter -http://twitter.com/centizenincWe are always looking to network, so if you are in the market or just interested in hearing about future opportunities, please send us a current resume along with your hourly compensation requirements. If you would like to add to our linked in professional network, here is our linked in profile http:// www.linkedin.com/in/leemaWhy Centizen is the right IT solutions and consulting services company to work with:-There are many advantages for IT professionals like yourself to work with Centizen.Â  These include:We enjoy approved IT vendor status with several leading companies in the Pacific Northwest and are focused on growing our list ofÂ  approved vendor status with several additional companies.Â Â Â  We are an ethical company with high integrity and a dedication to delivering high results with our clients.Â Â Â  We are fair and honest in all of our business dealings with our consultants and clientsÂ Â Â  We pay top scale hourly rates based on your credentials, experience and market demandÂ Â Â  We can offer related benefits as needed and customized to your situationÂ Â Â  We can work with you to help you achieve your career growth and goals",34,2,15,0,11,22-JÚL.  -04 00.00.00,000000000,720741
